block,color,response
a,red,1.9
b,red,2.6
c,red,3.4
d,red,0.8
e,red,5.3
f,red,1.5
g,red,4.5
h,red,2.6
i,red,1.16
j,red,1.3
k,red,2
l,red,2
m,red,6.7
n,red,1.44
o,red,2
p,red,2
q,red,1
r,red,1
s,red,1.5
t,red,2
u,red,4.1
v,red,4.5
w,red,3.4
x,red,1.1
a,green,9.1
b,green,6.4
c,green,1.2
d,green,5.7
e,green,17.7
f,green,6.4
g,green,16.6
h,green,8.3
i,green,4.9
j,green,1
k,green,1
l,green,3
m,green,23
n,green,6.13
o,green,9
p,green,2
q,green,4
r,green,4.5
s,green,10
t,green,4
u,green,27.2
v,green,17
w,green,9.8
x,green,6.8
a,blue,7.6
b,blue,5.6
c,blue,14
d,blue,6.8
e,blue,18.5
f,blue,7.2
g,blue,19.5
h,blue,10.5
i,blue,5.27
j,blue,6
k,blue,8
l,blue,7.5
m,blue,23
n,blue,5.8
o,blue,11
p,blue,9
q,blue,6
r,blue,6
s,blue,9.5
t,blue,8
u,blue,25.6
v,blue,19
w,blue,9
x,blue,6.8
